url,title,api_id,warnings
"https://www.food.com/recipe/fish-tacos-baja-style-286078","Fish Tacos - Baja Style","food_com:fish-tacos-baja-style-286078",""
"https://www.food.com/recipe/margarita-6460","Margarita","food_com:margarita-6460","defaulted_time_constant"
"https://www.food.com/recipe/menudo-rojo-red-menudo-259251","Menudo Rojo (Red Menudo)","food_com:menudo-rojo-red-menudo-259251",""
"https://www.food.com/recipe/birria-246387","Birria","food_com:birria-246387",""
"https://www.food.com/recipe/machaca-burritos-260125","Machaca Burritos","food_com:machaca-burritos-260125",""
"https://www.food.com/recipe/chilaquiles-with-chicken-67921","Chilaquiles with Chicken","food_com:chilaquiles-with-chicken-67921",""
"https://www.food.com/recipe/nopal-breakfast-536511","Nopal Breakfast","food_com:nopal-breakfast-536511",""
"https://www.food.com/recipe/watermelon-agua-fresca-174604","Watermelon Agua Fresca","food_com:watermelon-agua-fresca-174604",""
"https://www.food.com/recipe/enfrijoladas-465956","Enfrijoladas","food_com:enfrijoladas-465956",""
"https://www.food.com/recipe/morisqueta-con-chorizo-234910","Morisqueta Con Chorizo","food_com:morisqueta-con-chorizo-234910",""
"https://www.food.com/recipe/memelas-484148","Memelas","food_com:memelas-484148",""
"https://www.food.com/recipe/pork-carnitas-535582","Pork Carnitas","food_com:pork-carnitas-535582",""
"https://www.food.com/recipe/mexican-style-meat-and-vegetable-stew-aztecas-molcajete-114910","Mexican Style Meat and Vegetable Stew - Azteca's Molcajete","food_com:mexican-style-meat-and-vegetable-stew-aztecas-molcajete-114910",""
"https://www.food.com/recipe/el-reys-fish-tacos-531985","El Rey's Fish Tacos","food_com:el-reys-fish-tacos-531985",""
"https://www.food.com/recipe/capirotada-112929","Capirotada","food_com:capirotada-112929",""
"https://www.food.com/recipe/mole-coloradito-enchiladas-from-rick-bayless-509033","Mole Coloradito Enchiladas, from Rick Bayless","food_com:mole-coloradito-enchiladas-from-rick-bayless-509033",""
"https://www.food.com/recipe/cuernitos-menonitas-mennonite-little-horns-370708","Cuernitos Menonitas (Mennonite ""little Horns"")","food_com:cuernitos-menonitas-mennonite-little-horns-370708",""
"https://www.food.com/recipe/cabrito-goat-and-red-gravy-121753","Cabrito (goat) and Red Gravy","food_com:cabrito-goat-and-red-gravy-121753",""
"https://www.food.com/recipe/guava-cheese-flan-214837","Guava Cheese Flan","food_com:guava-cheese-flan-214837",""
"https://www.food.com/recipe/michelada-authentic-247721","Michelada Authentic","food_com:michelada-authentic-247721","defaulted_instructions_placeholder"
"https://www.food.com/recipe/chicken-pozole-533160","Chicken Pozole","food_com:chicken-pozole-533160",""
"https://www.food.com/recipe/aguachiles-390805","Aguachiles","food_com:aguachiles-390805",""
"https://www.food.com/recipe/churros-from-casa-marcela-531706","Churros from Casa Marcela","food_com:churros-from-casa-marcela-531706",""
"https://www.food.com/recipe/mexican-elote-536390","Mexican Elote","food_com:mexican-elote-536390",""
